description,color1,color2,color3,color4,likes,url,pastel,vintage,retro,neon,gold,light,dark,warm,cold,summer,fall,winter,spring,happy,nature,earth,night,space,rainbow,gradient,sunset,sky,sea,kids,skin,food,cream,coffee,wedding,christmas,halloween
"vintage, winter",#3C3633, #747264, #E0CCBE, #EEEDEB,367, https://colorhunt.co//palette/eeedebe0ccbe7472643c3633,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vintage, dark, warm, night, gradient, skin, coffee",#A87C7C, #7E6363, #503C3C, #3E3232,1618, https://colorhunt.co//palette/3e3232503c3c7e6363a87c7c,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"vintage, dark, cold, winter, night, gradient, halloween",#F6B17A, #7077A1, #424769, #2D3250,1976, https://colorhunt.co//palette/2d32504247697077a1f6b17a,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"vintage, fall, nature, earth, food, wedding, christmas",#76453B, #B19470, #F8FAE5, #43766C,3718, https://colorhunt.co//palette/43766cf8fae5b1947076453b,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"vintage, summer, nature, gradient, food",#D2E3C8, #86A789, #739072, #4F6F52,3545, https://colorhunt.co//palette/4f6f5273907286a789d2e3c8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"vintage, food, wedding, christmas",#820300, #B80000, #FF9800, #5F8670,2342, https://colorhunt.co//palette/5f8670ff9800b80000820300,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"vintage, earth, cream, coffee",#B2A59B, #DED0B6, #FAEED1, #607274,4340, https://colorhunt.co//palette/607274faeed1ded0b6b2a59b,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"vintage, retro, nature, food, christmas",#EE7214, #F7B787, #F9E8D9, #527853,2929, https://colorhunt.co//palette/527853f9e8d9f7b787ee7214,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"vintage, earth",#FFEFE8, #F8DFD4, #C69774, #637E76,2457, https://colorhunt.co//palette/637e76c69774f8dfd4ffefe8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"vintage, fall, earth, food, christmas",#B99470, #FEFAE0, #A9B388, #5F6F52,7473, https://colorhunt.co//palette/5f6f52a9b388fefae0b99470,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
